datetime,price,market_cap,volume,MA_7,MA_30,RSI_14,MACD,MACD_Signal
2026-06-06 14:00:09.758,60783.60690260497,1217845435579.739,62275314385.51294,60901.508694488264,61108.89614165342,45.82132443768413,-289.43972424003005,-366.5623790570258
2026-06-06 15:00:27.814,60801.25071653321,1220024063247.3328,58259180584.155106,60876.375966128086,61055.801377695905,46.00316124838511,-274.80007200817636,-348.2099176472559
2026-06-06 16:01:02.475,60787.40516761303,1217424446359.3687,53970894832.280815,60805.5865043736,60989.27240887349,45.87305042222072,-261.30312248673,-330.8285586151507
2026-06-06 17:00:48.959,60717.331369021034,1216156695035.9456,48890045925.82174,60769.92457236351,60930.114538613445,45.17663275350668,-253.34070867542323,-315.3309886272052
2026-06-06 18:00:36.782,60544.17676509025,1212595759462.6023,47010175346.89991,60773.033001939075,60882.5512310808,43.42239287616872,-258.02817955077626,-303.8704268119194
2026-06-06 19:00:50.488,60632.13314693318,1213819206670.5085,44443843122.85558,60753.77036320768,60839.96030633306,44.59921025513299,-251.74374388388242,-293.445090226312
2026-06-06 20:00:57.904,60600.08126481232,1214511205149.6091,40896614833.70195,60695.140761801165,60834.682172778084,44.238106593136806,-246.50801144926663,-284.05767447090295
2026-06-06 21:00:36.419,60702.280740364564,1215598488984.1682,38019798814.51786,60683.522738623964,60831.84204529649,45.7464921367842,-231.44406905389042,-273.5349533875004
2026-06-06 22:00:49.532,60747.38643397402,1217630298842.026,36607429165.81208,60675.82784111551,60841.24653102354,46.435179141560354,-213.40612074616365,-261.50918685923307
2026-06-06 23:00:32.555,60583.529858700254,1214464885010.1614,33530268915.92528,60646.70279698511,60814.003058505616,44.238283036739446,-209.9130262733961,-251.18995474206568
2026-06-07 00:00:41.943,60861.88012897632,1219858358359.3782,31865516854.60977,60667.35261983587,60817.35044901945,48.68009994150446,-182.57952013995964,-237.46786782164446
2026-06-07 01:00:49.706,60761.620629732344,1217425063449.0964,31390359124.08674,60698.416029070446,60864.29045838034,47.22102208944899,-167.08161048633337,-223.39061635458225
2026-06-07 02:00:46.667,61471.63828191639,1231831839015.3516,32256691294.888466,60818.34533406805,60902.77179787949,57.04098076304438,-96.3957248514489,-197.99163805395557
2026-06-07 03:00:39.301,61492.783358280816,1232259707174.1665,31924110232.074383,60945.87420456355,60898.094492930104,57.29580691708611,-38.22973172550701,-166.03925678826585
2026-06-07 04:00:40.103,61664.738019211065,1235213093351.7815,31711510482.912384,61083.368101541615,60898.79686428986,59.40470098019447,21.4947626978028,-128.53245289105212
2026-06-07 05:00:45.744,61867.507645404425,1239763001555.8228,30121672892.13611,61243.385417460246,60905.76743530216,61.80031921251662,84.21785799419013,-85.98239071400366
2026-06-07 06:01:13.537,61731.036831240555,1237033617661.4336,27529151704.530968,61407.31498496601,60932.742182504684,59.265397048694076,121.51357588006795,-44.483197395189336
